"Domain.Code","Domain","Area.Code..FAO.","Area","Element.Code","Element","Item.Code","Item","Year.Code","Year","Unit","Value","Flag","Flag.Description"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2013,2013,"1000 ha",654.2648,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2014,2014,"1000 ha",656.6551,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2015,2015,"1000 ha",656.664,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2016,2016,"1000 ha",660.6539,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2017,2017,"1000 ha",660.7477,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2018,2018,"1000 ha",660.7349,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2019,2019,"1000 ha",662.7233,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1992,1992,"1000 ha",105.5086,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1993,1993,"1000 ha",107.0839,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1994,1994,"1000 ha",109.223,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1995,1995,"1000 ha",111.4842,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1996,1996,"1000 ha",113.9837,"FC","Calculated data"
