DATAFLOW,LAST UPDATE,freq,indic_ag,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,EL,2006,37.2,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,EL,2007,35.8,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,EL,2008,35.1,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,EL,2009,29.8,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,EL,2010,33.3,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,EL,2011,32.1,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,EL,2012,30.3,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,EL,2013,26.6,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,EL,2014,29.6,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,EL,2015,28.9,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,EL,2016,27.3,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,EL,2017,29.2,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,EL,2018,30.1,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,EL,2019,28.9,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,ES,2005,31.6,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,ES,2006,32.5,
