Name,ESPECE,SGIo,SAI,SGIc,ORFUNC,SRI,RANGE BIRDLIFE
Aquila chrysaetos,AQUCHR,1.532357414,1.09090909090909,46.1757592810276,0.405708359,11,8.542
Circaetus gallicus,CIRGAL,1.55528908,1.12048192771084,44.3785966784633,0.339967709,55,33.663
Caprimulgus europaeus,CAPEUR,1.556331464,1.2,45.952826471965,0.327828968,19,41.681
Coracias garrulus,CORGAR,1.558092781,1.38842975206612,44.2178010510193,0.269320561,35,2.581
Oenanthe hispanica,OENHIS,1.5812317,1.2972972972973,46.174946860289,0.277940054,8,5.096
Larus fuscus,LARFUS,1.582227934,7.30645161290323,46.984428426785,0.390432304,51,5.624
Ptyonoprogne rupestris,PTYRUP,1.590532584,2.74683544303797,46.6181970430412,0.289792949,33,18.824
Dryocopus martius,DRYMAR,1.59074522,1.05569529284944,23.1020420387218,0.298388888,718,38.176
Alectoris rufa,ALERUF,1.591660947,1.43145956607495,29.1745607246109,0.339772915,495,42.637
Regulus ignicapilla,REGIGN,1.608327984,1.22117831278137,21.1554473897892,0.290685376,861,40.92
Turdus pilaris,TURPIL,1.608859145,2.19217081850534,46.057216725158,0.244570436,158,19.3671
Spinus spinus,CARSPI,1.626080998,3.11111111111111,47.4651330964146,0.244041463,62,6.719
Lanius collurio,LANCOL,1.636368013,1.31492126968258,24.52045318347,0.294227707,798,49.187
Hirundo rustica,HIRRUS,1.642301646,2.87604290822408,24.7843205658062,0.297078318,1333,63.126
Passer montanus,PASMON,1.656888422,2.77433913604126,37.6988909334816,0.245526131,363,60.371
Larus marinus,LARMAR,1.667256322,2.42857142857143,47.5004937893322,0.337438357,14,2.003
Phoenicurus ochruros,PHOOCH,1.66858821,1.29647175281058,10.9747099110231,0.272190241,1578,63.03
Poecile palustris,PARPAL,1.679893302,1.34577563716637,23.4654341361124,0.248270531,893,59.472
Athene noctua,ATHNOC,1.687351304,1.08133971291866,42.9340115046442,0.371945968,129,56.205
Lanius excubitor,LANEXC,1.689923452,1.39622641509434,46.5015278188523,0.291803257,25,26.785
Pyrrhula pyrrhula,PYRPYR,1.6906038,1.2333621434745,29.5565602684336,0.281821737,621,60.105
Phylloscopus bonelli,PHYBON,1.695114602,1.44698703279939,29.8222209750969,0.303031853,433,49.23
Streptopelia decaocto,STRDEC,1.698811242,1.80890545469119,8.8091593596853,0.23697295,1662,59.848
Strix aluco,STRALU,1.725635419,1.10898661567878,40.009118006499,0.342423791,314,63.459
Locustella naevia,LOCNAE,1.726491186,1.10611854684512,36.4971085821526,0.290696052,385,46.005
Asio otus,ASIOTU,1.7281921,1.35,46.6907814102082,0.342592667,35,56.366
Milvus migrans,MILMIG,1.741314978,1.46001279590531,38.6228121187818,0.384124066,463,49.796
Lullula arborea,LULARB,1.763946827,1.3080967402734,23.1133469673474,0.249783766,777,#NAME?
Pernis apivorus,PERAPI,1.769705535,1.16129032258065,45.5016698115921,0.313215492,80,61.994
Serinus serinus,SERSER,1.775879738,1.40791443850267,24.1225248888028,0.248703569,1174,63.277
Sitta europaea,SITEUR,1.798180193,1.33748534583822,17.708753352376,0.300405176,1396,62.15
Corvus monedula,CORMON,1.801350086,3.99509433962264,39.7691803512453,0.270424105,521,58.241
Columba oenas,COLOEN,1.824887471,1.30315969257045,41.954564933416,0.287636207,335,44.852
Falco subbuteo,FALSUB,1.825416878,1.2,45.134313928081,0.329506059,127,54.071
Accipiter gentilis,ACCGEN,1.827469992,1.109375,46.5210117057468,0.307865572,50,46.334
Saxicola torquatus,SAXTOR,1.832012532,1.3997802734375,25.3583189391756,0.273959099,1242,62.664
Falco tinnunculus,FALTIN,1.873341006,1.17505315379164,29.213818895782,0.284397065,1192,62.902
Chloris chloris,CARCHL,1.878979328,1.54285858432975,18.8914739621982,0.25118635,1745,63.118
Phylloscopus trochiloides,PHYTRO,1.879700195,1.36161646286907,28.3222309011393,0.252247676,1029,42.816
Motacilla alba,MOTALB,1.880499815,1.28491549116787,29.1175273766453,0.241788709,1466,63.218
Pica pica,PICPIC,1.88383315,1.56753299610442,20.4874558406557,0.3157156,1581,62.523
Anthus trivialis,ANTTRI,1.892360153,1.30987608655447,28.259213797494,0.278307387,1114,59.461
Carduelis carduelis,CARCAR,1.895598764,1.85910213817191,26.0001307494853,0.240912942,1598,63.297
Emberiza cirlus,EMBCIR,1.918035396,1.22349272349272,26.6329262256981,0.2395421,1065,56.93
Phoenicurus phoenicurus,PHOPHO,1.922651583,1.18579556601923,32.9270719391904,0.259166981,842,54.142
Emberiza citrinella,EMBCIT,1.929803677,1.40556552962298,24.3700781133498,0.241945218,1365,57.629
Sylvia curruca,SYLCUR,1.938387772,1.09636363636364,41.4189820534472,0.25415317,283,28.673
Linaria cannabina,CARCAN,1.943559898,2.11088592935727,33.6097488506338,0.248166818,1134,63.477
Sturnus vulgaris,STUVUL,1.944873817,3.3685572967226,30.2929359329209,0.249902527,1765,62.953
Buteo buteo,BUTBUT,1.951975474,1.13492163009404,26.9526693393035,0.367799285,1442,#NAME?
