Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1972","1972","kg/ha","33.65","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1973","1973","kg/ha","32.86","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1974","1974","kg/ha","36.81","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1975","1975","kg/ha","37.61","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1976","1976","kg/ha","32.7","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1977","1977","kg/ha","30.64","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1978","1978","kg/ha","32.28","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1979","1979","kg/ha","32.42","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1980","1980","kg/ha","29.91","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1981","1981","kg/ha","8.5","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1982","1982","kg/ha","40.9","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1983","1983","kg/ha","35.21","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1984","1984","kg/ha","25.25","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1985","1985","kg/ha","25.25","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1986","1986","kg/ha","25.25","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1987","1987","kg/ha","37.39","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1988","1988","kg/ha","35.01","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1989","1989","kg/ha","34.37","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1990","1990","kg/ha","36.22","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1991","1991","kg/ha","10.95","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1992","1992","kg/ha","12.38","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1993","1993","kg/ha","2.24","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1994","1994","kg/ha","2.98","Fc","Calculated data"
